[ 0.0230235   0.0261517   0.02613084]
[ 0.0268399   0.02783049  0.02549478]
[ 0.02549478  0.02604742  0.02161582]
[ 0.02351359  0.02664178  0.02624554]
[ 0.03723593  0.04232446  0.03827866]
[ 0.04029113  0.04975913  0.04608872]
[ 0.04559863  0.0488311   0.04316907]
Target: 2.29695570942

[ 0.01956164  0.02129257  0.02075035]
[ 0.02068779  0.0211883   0.02016642]
[ 0.01979104  0.02076078  0.01888386]
[ 0.0184772   0.02010386  0.01999958]
[ 0.02308607  0.02321119  0.02182436]
[ 0.02188693  0.02259598  0.02239786]
[ 0.02394111  0.02422264  0.02350316]
[ 0.0230235   0.0261517   0.02613084]
[ 0.0268399   0.02783049  0.02549478]
[ 0.02549478  0.02604742  0.02161582]
[ 0.02351359  0.02664178  0.02624554]
[ 0.03723593  0.04232446  0.03827866]
[ 0.04029113  0.04975913  0.04608872]
[ 0.04559863  0.0488311   0.04316907]
[ 0.04342975  0.04719401  0.04534838]
Target: 3.94284486463

[ 0.02068779  0.0211883   0.02016642]
[ 0.01979104  0.02076078  0.01888386]
[ 0.0184772   0.02010386  0.01999958]
[ 0.02308607  0.02321119  0.02182436]
[ 0.02188693  0.02259598  0.02239786]
[ 0.02394111  0.02422264  0.02350316]
[ 0.0230235   0.0261517   0.02613084]
[ 0.0268399   0.02783049  0.02549478]
[ 0.02549478  0.02604742  0.02161582]
[ 0.02351359  0.02664178  0.02624554]
[ 0.03723593  0.04232446  0.03827866]
[ 0.04029113  0.04975913  0.04608872]
[ 0.04559863  0.0488311   0.04316907]
[ 0.04342975  0.04719401  0.04534838]
[ 0.04569248  0.04973827  0.0491752 ]
Target: -1.37467700258

[ 0.01979104  0.02076078  0.01888386]
[ 0.0184772   0.02010386  0.01999958]
[ 0.02308607  0.02321119  0.02182436]
[ 0.02188693  0.02259598  0.02239786]
[ 0.02394111  0.02422264  0.02350316]
[ 0.0230235   0.0261517   0.02613084]
[ 0.0268399   0.02783049  0.02549478]
[ 0.02549478  0.02604742  0.02161582]
[ 0.02351359  0.02664178  0.02624554]
[ 0.03723593  0.04232446  0.03827866]
[ 0.04029113  0.04975913  0.04608872]
[ 0.04559863  0.0488311   0.04316907]
[ 0.04342975  0.04719401  0.04534838]
[ 0.04569248  0.04973827  0.0491752 ]
[ 0.05207399  0.05263707  0.04778837]
Target: 2.81911548942

[ 0.0184772   0.02010386  0.01999958]
[ 0.02308607  0.02321119  0.02182436]
[ 0.02188693  0.02259598  0.02239786]
[ 0.02394111  0.02422264  0.02350316]
[ 0.0230235   0.0261517   0.02613084]
[ 0.0268399   0.02783049  0.02549478]
[ 0.02549478  0.02604742  0.02161582]
[ 0.02351359  0.02664178  0.02624554]
[ 0.03723593  0.04232446  0.03827866]
[ 0.04029113  0.04975913  0.04608872]
[ 0.04559863  0.0488311   0.04316907]
[ 0.04342975  0.04719401  0.04534838]
[ 0.04569248  0.04973827  0.0491752 ]
[ 0.05207399  0.05263707  0.04778837]
[ 0.04927947  0.05144835  0.05059331]
Target: -0.591173172969

[ 0.02308607  0.02321119  0.02182436]
[ 0.02188693  0.02259598  0.02239786]
[ 0.02394111  0.02422264  0.02350316]
[ 0.0230235   0.0261517   0.02613084]
[ 0.0268399   0.02783049  0.02549478]
[ 0.02549478  0.02604742  0.02161582]
[ 0.02351359  0.02664178  0.02624554]
[ 0.03723593  0.04232446  0.03827866]
[ 0.04029113  0.04975913  0.04608872]
[ 0.04559863  0.0488311   0.04316907]
[ 0.04342975  0.04719401  0.04534838]
[ 0.04569248  0.04973827  0.0491752 ]
[ 0.05207399  0.05263707  0.04778837]
[ 0.04927947  0.05144835  0.05059331]
[ 0.052001    0.05227211  0.04998853]
Target: -1.64052086537

[ 0.02188693  0.02259598  0.02239786]
[ 0.02394111  0.02422264  0.02350316]
[ 0.0230235   0.0261517   0.02613084]
[ 0.0268399   0.02783049  0.02549478]
[ 0.02549478  0.02604742  0.02161582]
[ 0.02351359  0.02664178  0.02624554]
[ 0.03723593  0.04232446  0.03827866]
[ 0.04029113  0.04975913  0.04608872]
[ 0.04559863  0.0488311   0.04316907]
[ 0.04342975  0.04719401  0.04534838]
[ 0.04569248  0.04973827  0.0491752 ]
[ 0.05207399  0.05263707  0.04778837]
[ 0.04927947  0.05144835  0.05059331]
[ 0.052001    0.05227211  0.04998853]
[ 0.05171946  0.05350253  0.04832016]
Target: -3.63806942562

[ 0.02394111  0.02422264  0.02350316]
[ 0.0230235   0.0261517   0.02613084]
[ 0.0268399   0.02783049  0.02549478]
[ 0.02549478  0.02604742  0.02161582]
[ 0.02351359  0.02664178  0.02624554]
[ 0.03723593  0.04232446  0.03827866]
[ 0.04029113  0.04975913  0.04608872]
[ 0.04559863  0.0488311   0.04316907]
[ 0.04342975  0.04719401  0.04534838]
[ 0.04569248  0.04973827  0.0491752 ]
